day_of_week,hour_of_day,avg_speed
1,0,12.35089416284078
1,1,12.575098056942284
1,2,12.69721469172403
1,3,12.878370500280292
1,4,13.237396622066147
1,5,12.875587577707762
1,6,11.778949706198336
1,7,10.475942798977965
1,8,8.828670439286823
1,9,8.280483769709486
1,10,8.040098575639396
1,11,8.006599477003698
1,12,8.107333496640289
1,13,8.28073951934398
1,14,8.32397289240521
1,15,8.473945258594522
1,16,8.512134470310171
1,17,8.449081694719817
1,18,8.70779987536525
1,19,9.43810778596326
1,20,10.33121303545151
1,21,10.476374037188638
1,22,10.72037373735194
1,23,11.500950968134912
2,0,12.174957853983882
2,1,12.751220494076735
2,2,12.808508442554587
2,3,12.739564462948543
2,4,13.245740741860333
2,5,12.570236641297049
2,6,11.482837079520253
2,7,9.898073521788655
2,8,8.109517883858548
2,9,7.353107250587425
2,10,7.023522099546797
2,11,7.010376351360561
2,12,7.118080078456078
2,13,7.553617175298621
2,14,7.710626140468826
2,15,7.770862637526783
2,16,7.743486806032933
2,17,7.490040753214038
2,18,7.8044814013554475
2,19,8.879127520801994
2,20,9.84482208646895
2,21,10.104377972176401
2,22,10.3096161455755
2,23,10.925947293895346
3,0,10.701944717444404
3,1,10.631479140092162
3,2,10.750421029138316
3,3,11.100309839123792
3,4,11.999000882615412
3,5,12.56109411397098
3,6,11.638593212068004
3,7,10.050573898856666
3,8,8.379142122845955
3,9,7.585335007348211
3,10,7.288174713127596
3,11,7.109907920226596
3,12,7.133019741712587
3,13,7.3507330147699195
3,14,7.625141511604595
3,15,7.646876859669654
3,16,7.453226312081299
3,17,7.243664756649734
3,18,7.548628290749257
3,19,8.40459582960937
3,20,9.557867896664558
3,21,9.886202284588208
3,22,10.10498819908549
3,23,10.741511308849018
4,0,11.677435984247605
4,1,12.243853455312223
4,2,12.427220987634053
4,3,12.687403495888317
4,4,13.027924524205053
4,5,12.844580396716852
4,6,11.54719903325076
4,7,9.992081344167367
4,8,8.458102284361276
4,9,7.678742035949349
4,10,7.340487624022323
4,11,7.112102866336635
4,12,7.099889902535184
4,13,7.379086077195503
4,14,7.484504530524025
4,15,7.53083323162065
4,16,7.4669480853621355
4,17,7.17621824308629
4,18,7.353070892734285
4,19,8.076041676056533
4,20,9.1304028282844
4,21,9.434349785447509
4,22,9.709069405695201
4,23,10.382792692116935
5,0,11.116239279516549
5,1,11.695881271312127
5,2,12.116431863255286
5,3,12.409543167847325
5,4,12.874151333060144
5,5,12.897116828935111
5,6,11.830996592077929
5,7,10.718116474466788
5,8,9.360574528759305
5,9,8.653184646079405
5,10,8.182891740108044
5,11,7.887955102461663
5,12,7.9214834372732845
5,13,8.058599699167662
5,14,7.90611756617903
5,15,7.774330404368357
5,16,7.6586404356207565
5,17,7.587910439338313
5,18,7.46777885756426
5,19,7.535128798150147
5,20,8.378993881257179
5,21,8.286950354939831
5,22,8.47470162569708
5,23,9.235549964589373
6,0,9.76374657769244
6,1,10.34344696758036
6,2,10.877518775980997
6,3,11.739958230968739
6,4,12.369733949772778
6,5,13.197797810965737
6,6,12.678257557064292
6,7,12.58862708862593
6,8,12.145023071578162
6,9,11.308550866331558
6,10,10.448930640400306
6,11,9.441027552528409
6,12,8.736770201862873
6,13,8.16181087815528
6,14,8.194114711568147
6,15,7.979435574434445
6,16,7.616758792189138
6,17,7.448918926845779
6,18,7.452534960682141
6,19,7.4568964744399056
6,20,7.734929352142579
6,21,7.989156962363055
6,22,8.320866762099493
6,23,9.006323057596063
7,0,9.76356184204091
7,1,10.122390043386789
7,2,10.860834208135005
7,3,11.566671080015887
7,4,12.283822338503219
7,5,13.06163347786179
7,6,13.169127573528217
7,7,12.888412721950477
7,8,12.356306177786374
7,9,11.83081475285878
7,10,11.008757037757997
7,11,10.082090538789943
7,12,9.305282581649859
7,13,8.917331393846238
7,14,8.780821649389067
7,15,8.855391397827232
7,16,8.681714756031683
7,17,8.685498642753139
7,18,9.117289737622785
7,19,9.604774777227801
7,20,10.070486260712716
7,21,10.457186262710133
7,22,10.97270983269471
7,23,11.678306759216069
