month,avg_surcharge,avg_tip_pct
1,2.0336935117659074,0.19841380366594094
2,1.8883056852087177,0.18492831228590206
3,1.8837189918925474,0.18265992384554405
4,1.9496285103919986,0.1868337953387689
5,1.8276058398843276,0.174973189683387
6,1.7383584815575086,0.16806474299622118
7,1.7483873589118197,0.16621094397303765
8,1.7883128621052347,0.16941966409629983
9,1.7776822902730227,0.1697766634166647
10,1.8985854929744137,0.18259522643553766
11,1.9205739336515617,0.18488437278219524
12,2.168545771827574,0.19797813501456576
