pickup_time,trip_distance,fare,duration_min,speed_mph,ghost_reason
2025-11-01T12:40:24.000000,0.0,11.4,12.0,0.0,"Stationary Ride (0mi, >$0)"
2025-11-01T12:47:56.000000,0.18,55.0,0.11666666666666667,88.04347826086958,Impossible Physics (>65mph)
2025-11-01T13:19:20.000000,0.0,5.0,0.03333333333333333,0.0,"Stationary Ride (0mi, >$0)"
2025-11-01T13:18:23.000000,0.0,17.7,21.85,0.0,"Stationary Ride (0mi, >$0)"
2025-11-01T13:37:40.000000,0.0,17.7,21.583333333333332,0.0,"Stationary Ride (0mi, >$0)"
2025-11-01T13:28:27.000000,0.0,30.0,0.03333333333333333,0.0,"Teleporter (<1min, >$20)"
2025-11-01T13:29:15.000000,0.02,30.0,0.03333333333333333,30.508474576271183,"Teleporter (<1min, >$20)"
2025-11-01T14:29:03.000000,0.0,12.1,13.116666666666667,0.0,"Stationary Ride (0mi, >$0)"
2025-11-01T09:12:05.000000,0.01,60.0,0.18333333333333332,3.1690140845070425,"Teleporter (<1min, >$20)"
2025-11-01T14:22:42.000000,0.0,12.0,0.05,0.0,"Stationary Ride (0mi, >$0)"
2025-11-01T14:52:36.000000,0.0,25.55,0.13333333333333333,0.0,"Teleporter (<1min, >$20)"
2025-11-01T14:10:13.000000,0.0,160.0,0.3333333333333333,0.0,"Teleporter (<1min, >$20)"
2025-11-01T16:01:13.000000,0.0,15.6,18.4,0.0,"Stationary Ride (0mi, >$0)"
2025-11-01T15:59:40.000000,0.0,3.0,0.4166666666666667,0.0,"Stationary Ride (0mi, >$0)"
2025-11-01T16:03:36.000000,0.13,47.0,0.13333333333333333,55.980861244019145,"Teleporter (<1min, >$20)"
2025-11-01T17:25:28.000000,0.0,10.0,10.666666666666666,0.0,"Stationary Ride (0mi, >$0)"
2025-11-01T18:21:17.000000,0.0,19.8,24.183333333333334,0.0,"Stationary Ride (0mi, >$0)"
2025-11-01T19:53:30.000000,0.0,15.0,0.08333333333333333,0.0,"Stationary Ride (0mi, >$0)"
2025-11-01T19:24:16.000000,0.0,16.3,19.25,0.0,"Stationary Ride (0mi, >$0)"
2025-11-01T19:28:45.000000,0.0,25.0,0.6833333333333333,0.0,"Teleporter (<1min, >$20)"
2025-11-01T20:46:04.000000,0.0,11.0,0.05,0.0,"Stationary Ride (0mi, >$0)"
2025-11-01T20:03:49.000000,0.0,3.0,0.43333333333333335,0.0,"Stationary Ride (0mi, >$0)"
2025-11-01T20:40:53.000000,0.11,72.0,0.03333333333333333,167.79661016949152,Impossible Physics (>65mph)
2025-11-01T20:24:20.000000,0.0,185.0,0.11666666666666667,0.0,"Teleporter (<1min, >$20)"
2025-11-01T20:08:43.000000,0.0,3.0,0.7666666666666666,0.0,"Stationary Ride (0mi, >$0)"
2025-11-01T20:22:50.000000,0.0,44.0,0.06666666666666667,0.0,"Teleporter (<1min, >$20)"
2025-11-01T21:30:10.000000,0.0,15.0,0.03333333333333333,0.0,"Stationary Ride (0mi, >$0)"
2025-11-01T22:02:54.000000,0.16,40.0,0.1,90.56603773584906,Impossible Physics (>65mph)
